Locality,Price,Type,Subtype,Rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the plot,Number of facades,Swimming pool,State of the building,Sale Type
Brakel,325000,APARTMENT,APARTMENT,2,130,1,0,0,1,None,0,None,None,2,0,GOOD,For Sale
Oudenaarde,475000,HOUSE,HOUSE,5,232,1,0,0,1,None,1,990,990,4,0,GOOD,For Sale
Anderlecht,545000,HOUSE,TOWN_HOUSE,3,182,1,0,0,1,15,1,220,306,3,0,GOOD,For Sale
Berlaar,549000,HOUSE,HOUSE,4,202,1,0,0,1,None,0,None,715,4,0,JUST_RENOVATED,For Sale
Antwerpen Hoboken,259900,HOUSE,MIXED_USE_BUILDING,2,385,0,0,0,1,None,1,85,303,2,0,GOOD,For Sale
Ixelles,629000,APARTMENT,DUPLEX,4,183,0,0,0,1,24,0,None,None,None,0,AS_NEW,For Sale
Liège,315000,HOUSE,HOUSE,5,263,1,0,0,1,21,1,93,208,2,0,GOOD,For Sale
Evere,249000,APARTMENT,PENTHOUSE,1,45,0,0,0,1,32,0,None,None,2,0,GOOD,For Sale
ANTWERPEN,349500,APARTMENT,APARTMENT,2,92,0,0,0,1,2,0,None,None,None,0,AS_NEW,For Sale
LUMMEN,255000,APARTMENT,APARTMENT,2,109,1,0,0,1,15,1,30,None,4,0,AS_NEW,For Sale
Vilvoorde,399000,APARTMENT,PENTHOUSE,3,120,0,0,0,1,13,0,None,None,None,0,JUST_RENOVATED,For Sale
Evere,425000,APARTMENT,APARTMENT,3,115,0,0,0,1,6,0,None,None,2,0,AS_NEW,For Sale
Ganshoren,425000,APARTMENT,GROUND_FLOOR,4,156,0,0,0,1,34,1,1,None,4,0,AS_NEW,For Sale
UCCLE,650000,APARTMENT,APARTMENT,3,130,1,0,0,1,12,0,None,None,3,0,JUST_RENOVATED,For Sale
MOL,309000,APARTMENT,APARTMENT,2,101,0,0,0,1,10,0,None,None,2,0,None,For Sale
MOL,331000,APARTMENT,APARTMENT,2,114,0,0,0,1,34,0,None,None,2,0,None,For Sale
Brugge,349000,HOUSE,HOUSE,3,90,1,0,0,1,18,0,None,60,2,0,AS_NEW,For Sale
Forest,269000,APARTMENT,APARTMENT,1,70,1,0,0,1,10,0,None,None,2,0,AS_NEW,For Sale
Gent,379000,APARTMENT,APARTMENT,3,101,0,0,0,1,7,0,None,None,None,0,None,For Sale
